27090.508 3690.2794  4  3  0.06090 -0.008296 0.11719
27090.508 3690.2794  3  4 -0.11137  0.015171 0.05469
27090.508 3690.2794  3  3 -0.01110  0.001512 0.16406
27090.508 3690.2794  2  3 -0.06510  0.008868 0.15625
27076.274 3692.2194  6  6  0.00478 -0.000651 0.22569
27076.274 3692.2194  6  5  0.07944 -0.010833 0.04514
27076.274 3692.2194  5  6 -0.07322  0.009985 0.04514
27076.274 3692.2194  5  5  0.00144 -0.000196 0.11546
27076.274 3692.2194  5  4  0.06373 -0.008690 0.06857
27076.274 3692.2194  4  5 -0.06356  0.008668 0.06857
27076.274 3692.2194  4  4 -0.00127  0.000173 0.04527
27076.274 3692.2194  4  3  0.04861 -0.006628 0.07366
27076.274 3692.2194  3  4 -0.05327  0.007264 0.07366
27076.274 3692.2194  3  3 -0.00339  0.000463 0.00868
27076.274 3692.2194  3  2  0.03404 -0.004642 0.06349
27076.274 3692.2194  2  3 -0.04239  0.005781 0.06349
27076.274 3692.2194  2  2 -0.00496  0.000676 0.00050
27076.274 3692.2194  2  1  0.02001 -0.002729 0.04018
27076.274 3692.2194  1  2 -0.03096  0.004221 0.04018
27076.274 3692.2194  1  1 -0.00599  0.000816 0.02232
27049.569 3695.8647  5  5  0.02354 -0.003216 0.24750
27049.569 3695.8647  5  4  0.09099 -0.012433 0.09625
27049.569 3695.8647  4  5 -0.06646  0.009081 0.09625
27049.569 3695.8647  4  4  0.00099 -0.000136 0.06000
27049.569 3695.8647  4  3  0.05519 -0.007541 0.12500
27049.569 3695.8647  3  4 -0.07101  0.009702 0.12500
27049.569 3695.8647  3  3 -0.01681  0.002297 0.00000
27049.569 3695.8647  3  2  0.02397 -0.003275 0.09375
27049.569 3695.8647  2  3 -0.07081  0.009676 0.09375
27049.569 3695.8647  2  2 -0.03003  0.004103 0.06250
26739.330 3738.7465  6  5 -0.13489  0.018861 0.27083
26739.330 3738.7465  5  5 -0.13918  0.019462 0.06417
26739.330 3738.7465  5  4 -0.00475  0.000665 0.16500
26739.330 3738.7465  4  5 -0.14276  0.019962 0.00875
26739.330 3738.7465  4  4 -0.00833  0.001165 0.09281
26739.330 3738.7465  4  3  0.09921 -0.013872 0.08594
26739.330 3738.7465  3  4 -0.01120  0.001566 0.02344
26739.330 3738.7465  3  3  0.09635 -0.013472 0.09115
26739.330 3738.7465  3  2  0.17701 -0.024750 0.03125
26739.330 3738.7465  2  3  0.09420 -0.013172 0.04167
26739.330 3738.7465  2  2  0.17486 -0.024450 0.06250
26739.330 3738.7465  1  2  0.17343 -0.024250 0.06250
26249.476 3808.5188  5  5 -0.07338  0.010648 0.24750
26249.476 3808.5188  5  4  0.02012 -0.002920 0.09625
26249.476 3808.5188  4  5 -0.09693  0.014065 0.09625
26249.476 3808.5188  4  4 -0.00343  0.000497 0.06000
26249.476 3808.5188  4  3  0.07126 -0.010339 0.12500
26249.476 3808.5188  3  4 -0.02227  0.003231 0.12500
26249.476 3808.5188  3  3  0.05242 -0.007605 0.00000
26249.476 3808.5188  3  2  0.10836 -0.015722 0.09375
26249.476 3808.5188  2  3  0.03829 -0.005555 0.09375
26249.476 3808.5188  2  2  0.09423 -0.013672 0.06250
