wavelength,intensity
286.10062,9.7535664e+10
286.14926,1.0951978e+11
286.1979,1.3119738e+11
286.24655,1.7526587e+11
286.29517,2.5847518e+11
286.3438,2.7594975e+11
286.39243,1.7107796e+11
286.44104,1.2088914e+11
286.48965,8.964259e+10
286.53827,6.594447e+10
286.58688,4.996964e+10
286.63547,3.7873783e+10
286.68408,3.0208092e+10
286.73267,2.6559455e+10
286.78125,3.3374601e+10
286.82983,4.5832892e+10
286.87842,6.8643676e+10
286.92697,1.0610054e+11
286.97556,1.4032693e+11
287.0241,1.4677334e+11
287.07266,1.4372651e+11
287.12122,1.3203366e+11
287.16977,1.1570743e+11
287.21832,1.0389278e+11
287.26685,8.356708e+10
287.31537,1.2705427e+11
287.36392,1.5185253e+11
287.41245,1.8185072e+11
287.46097,1.6002902e+11
287.50946,1.1723865e+11
287.55798,1.097526e+11
287.60648,1.3005781e+11
287.655,1.486958e+11
287.7035,1.4453909e+11
287.75198,1.4653927e+11
287.80048,2.7866317e+11
287.84894,3.795994e+11
287.89743,2.058965e+11
287.9459,1.0563215e+11
287.99435,9.073334e+10
288.04282,9.751564e+10
288.09128,1.4676225e+11
288.13974,3.8770747e+11
288.1882,1.5902828e+12
288.23663,4.3620838e+12
288.28506,3.9741172e+12
288.3335,1.271322e+12
288.38193,4.2831148e+11
288.43036,4.1533594e+11
288.4788,6.184951e+11
288.5272,5.4389647e+11
288.57562,3.0259154e+11
288.62402,1.4390075e+11
288.67242,1.3468845e+11
288.72083,1.0333152e+11
288.76923,9.00482e+10
288.8176,9.2046885e+10
288.866,1.04600625e+11
288.91437,1.2794748e+11
288.96274,1.517346e+11
289.0111,1.5369249e+11
289.05948,1.4257596e+11
289.10782,1.2821755e+11
289.1562,1.2201309e+11
289.20453,1.2431065e+11
289.25287,9.068423e+10
289.3012,7.364817e+10
289.34955,5.8750976e+10
289.3979,5.10528e+10
289.44623,5.2516196e+10
289.49454,6.379198e+10
289.54285,7.921713e+10
289.59116,9.97574e+10
289.63947,8.212856e+10
289.68777,6.877432e+10
289.73608,5.5499973e+10
289.78436,5.2745875e+10
289.83267,5.0151367e+10
289.88095,3.973351e+10
289.92923,2.958079e+10
289.9775,2.0514374e+10
290.02576,1.331741e+10
290.07404,6.9819244e+09
290.12228,1.3144932e+09
290.17056,-2.2274511e+09
290.2188,-2.2600428e+09
290.26706,5.136584e+08
290.3153,3.4407585e+09
290.36353,4.0181868e+09
290.41177,1.7541228e+09
290.46,-1.5353992e+09
290.5082,-2.7214572e+09
290.55643,1.734836e+09
290.60464,1.5104735e+10
290.65286,3.767332e+10
290.70108,6.3252394e+10
290.74927,9.460656e+10
290.79745,8.924127e+10
290.84564,7.733776e+10
290.89383,6.710152e+10
290.94202,5.8683105e+10
290.9902,5.187789e+10
291.03836,4.5785e+10
291.08655,4.1253482e+10
291.1347,4.1887322e+10
291.18286,5.3142344e+10
291.23102,7.145778e+10
291.27914,1.229249e+11
291.3273,1.4534318e+11
291.37543,7.3832415e+10
291.42358,4.800995e+10
291.4717,3.22014e+10
291.51984,2.8128252e+10
291.56796,3.2756386e+10
291.61606,3.8633763e+10
291.66418,4.0584155e+10
291.71228,3.838323e+10
291.76038,3.589854e+10
291.80847,3.4771747e+10
291.85657,3.9290642e+10
