28004.78 3569.800 6.0 6.0  0.00239 -0.000304 0.17529
28004.78 3569.800 6.0 5.0  0.09383 -0.011960 0.02514
28004.78 3569.800 5.0 6.0 -0.09181  0.011704 0.02514
28004.78 3569.800 5.0 5.0 -0.00037  0.000048 0.13062
28004.78 3569.800 5.0 4.0  0.07546 -0.009619 0.02758
28004.78 3569.800 4.0 5.0 -0.07887  0.010054 0.02758
28004.78 3569.800 4.0 4.0 -0.00304  0.000388 0.09818
28004.78 3569.800 4.0 3.0  0.05739 -0.007315 0.02424
28004.78 3569.800 3.0 4.0 -0.06584  0.008393 0.02424
28004.78 3569.800 3.0 3.0 -0.00541  0.000690 0.07699
28004.78 3569.800 3.0 2.0  0.03977 -0.005069 0.01543
28004.78 3569.800 2.0 3.0 -0.05251  0.006694 0.01543
28004.78 3569.800 2.0 2.0 -0.00733  0.000935 0.06790
28002.96 3570.032 6.0 7.0 -0.01763  0.002247 0.25000
28002.96 3570.032 6.0 6.0  0.08966 -0.011431 0.02006
28002.96 3570.032 6.0 5.0  0.18110 -0.023089 0.00077
28002.96 3570.032 5.0 6.0 -0.01594  0.002032 0.19660
28002.96 3570.032 5.0 5.0  0.07550 -0.009626 0.03090
28002.96 3570.032 5.0 4.0  0.15134 -0.019294 0.00167
28002.96 3570.032 4.0 5.0 -0.01250  0.001593 0.15167
28002.96 3570.032 4.0 4.0  0.06334 -0.008075 0.03375
28002.96 3570.032 4.0 3.0  0.12376 -0.015778 0.00208
28002.96 3570.032 3.0 4.0 -0.00706  0.000901 0.11458
28002.96 3570.032 3.0 3.0  0.05336 -0.006803 0.02971
28002.96 3570.032 3.0 2.0  0.09854 -0.012563 0.00154
28002.96 3570.032 2.0 3.0  0.00056 -0.000072 0.08488
28002.96 3570.032 2.0 2.0  0.04574 -0.005832 0.01929
28002.96 3570.032 1.0 2.0  0.01054 -0.001344 0.06250
24880.35 4018.100 6.0 7.0 -0.18123  0.029268 0.25000
24880.35 4018.100 6.0 6.0 -0.06001  0.009692 0.02006
24880.35 4018.100 6.0 5.0  0.04245 -0.006856 0.00077
24880.35 4018.100 5.0 6.0 -0.06781  0.010952 0.19660
24880.35 4018.100 5.0 5.0  0.03465 -0.005596 0.03090
24880.35 4018.100 5.0 4.0  0.11903 -0.019222 0.00167
24880.35 4018.100 4.0 5.0  0.02815 -0.004546 0.15167
24880.35 4018.100 4.0 4.0  0.11253 -0.018173 0.03375
24880.35 4018.100 4.0 3.0  0.17936 -0.028967 0.00208
24880.35 4018.100 3.0 4.0  0.10733 -0.017333 0.11458
24880.35 4018.100 3.0 3.0  0.17416 -0.028127 0.02971
24880.35 4018.100 3.0 2.0  0.22391 -0.036161 0.00154
24880.35 4018.100 2.0 3.0  0.17026 -0.027497 0.08488
24880.35 4018.100 2.0 2.0  0.22001 -0.035531 0.01929
24880.35 4018.100 1.0 2.0  0.21741 -0.035111 0.06250
24802.25 4030.753 6.0 5.0 -0.04049  0.006580 0.27083
24802.25 4030.753 5.0 5.0 -0.12746  0.020714 0.03274
24802.25 4030.753 5.0 4.0  0.00554 -0.000901 0.19643
24802.25 4030.753 4.0 5.0 -0.19909  0.032356 0.00198
24802.25 4030.753 4.0 4.0 -0.06609  0.010741 0.04911
24802.25 4030.753 4.0 3.0  0.04031 -0.006551 0.13641
24802.25 4030.753 3.0 4.0 -0.12285  0.019966 0.00446
24802.25 4030.753 3.0 3.0 -0.01645  0.002674 0.05208
24802.25 4030.753 3.0 2.0  0.06335 -0.010295 0.08929
24802.25 4030.753 2.0 3.0 -0.05870  0.009540 0.00595
24802.25 4030.753 2.0 2.0  0.02110 -0.003429 0.04464
24802.25 4030.753 2.0 1.0  0.07430 -0.012075 0.05357
24802.25 4030.753 1.0 2.0 -0.00692  0.001124 0.00496
24802.25 4030.753 1.0 1.0  0.04628 -0.007522 0.02976
24802.25 4030.753 1.0 0.0  0.07288 -0.011845 0.02778
24788.05 4033.062 5.0 5.0 -0.06942  0.011295 0.26190
24788.05 4033.062 5.0 4.0  0.06358 -0.010345 0.04365
24788.05 4033.062 4.0 5.0 -0.14590  0.023739 0.04365
24788.05 4033.062 4.0 4.0 -0.01290  0.002099 0.14286
24788.05 4033.062 4.0 3.0  0.09350 -0.015212 0.06349
24788.05 4033.062 3.0 4.0 -0.07541  0.012270 0.06349
24788.05 4033.062 3.0 3.0  0.03099 -0.005041 0.06667
24788.05 4033.062 3.0 2.0  0.11079 -0.018025 0.06429
24788.05 4033.062 2.0 3.0 -0.01667  0.002712 0.06429
24788.05 4033.062 2.0 2.0  0.06313 -0.010271 0.02381
24788.05 4033.062 2.0 1.0  0.11633 -0.018927 0.05079
24788.05 4033.062 1.0 2.0  0.03099 -0.005043 0.05079
24788.05 4033.062 1.0 1.0  0.08419 -0.013698 0.00476
24788.05 4033.062 1.0 0.0  0.11079 -0.018026 0.02778
24788.05 4033.062 0.0 1.0  0.06801 -0.011066 0.02778
24779.32 4034.483 4.0 5.0 -0.09462  0.015407 0.30556
24779.32 4034.483 4.0 4.0  0.03838 -0.006248 0.06250
24779.32 4034.483 4.0 3.0  0.14478 -0.023572 0.00694
24779.32 4034.483 3.0 4.0 -0.03823  0.006225 0.18750
24779.32 4034.483 3.0 3.0  0.06817 -0.011099 0.08750
24779.32 4034.483 3.0 2.0  0.14797 -0.024092 0.01667
24779.32 4034.483 2.0 3.0  0.01112 -0.001810 0.10000
24779.32 4034.483 2.0 2.0  0.09092 -0.014803 0.08333
24779.32 4034.483 2.0 1.0  0.14412 -0.023465 0.02500
24779.32 4034.483 1.0 2.0  0.05308 -0.008642 0.03889
24779.32 4034.483 1.0 1.0  0.10628 -0.017304 0.05833
24779.32 4034.483 1.0 0.0  0.13288 -0.021635 0.02778
24771.73 4035.719 5.0 6.0 -0.13975  0.022769 0.27083
24771.73 4035.719 5.0 5.0 -0.04753  0.007744 0.03274
24771.73 4035.719 5.0 4.0  0.02904 -0.004730 0.00198
24771.73 4035.719 4.0 5.0 -0.04303  0.007011 0.19643
24771.73 4035.719 4.0 4.0  0.03354 -0.005464 0.04911
24771.73 4035.719 4.0 3.0  0.09460 -0.015413 0.00446
24771.73 4035.719 3.0 4.0  0.03714 -0.006050 0.13641
24771.73 4035.719 3.0 3.0  0.09820 -0.015999 0.05208
24771.73 4035.719 3.0 2.0  0.14390 -0.023443 0.00595
24771.73 4035.719 2.0 3.0  0.10090 -0.016439 0.08929
24771.73 4035.719 2.0 2.0  0.14660 -0.023883 0.04464
24771.73 4035.719 2.0 1.0  0.17701 -0.028837 0.00496
24771.73 4035.719 1.0 2.0  0.14840 -0.024176 0.05357
24771.73 4035.719 1.0 1.0  0.17881 -0.029131 0.02976
24771.73 4035.719 0.0 1.0  0.17971 -0.029277 0.02778
24737.19 4041.354 7.0 7.0 -0.15998  0.026136 0.23377
24737.19 4041.354 7.0 6.0 -0.03876  0.006333 0.01623
24737.19 4041.354 6.0 7.0 -0.18028  0.029453 0.01623
24737.19 4041.354 6.0 6.0 -0.05906  0.009649 0.17529
24737.19 4041.354 6.0 5.0  0.04340 -0.007090 0.02514
24737.19 4041.354 5.0 6.0 -0.07646  0.012492 0.02514
24737.19 4041.354 5.0 5.0  0.02600 -0.004248 0.13062
24737.19 4041.354 5.0 4.0  0.11038 -0.018032 0.02758
24737.19 4041.354 4.0 5.0  0.01150 -0.001879 0.02758
24737.19 4041.354 4.0 4.0  0.09588 -0.015664 0.09818
24737.19 4041.354 4.0 3.0  0.16271 -0.026583 0.02424
24737.19 4041.354 3.0 4.0  0.08428 -0.013768 0.02424
24737.19 4041.354 3.0 3.0  0.15111 -0.024688 0.07699
24737.19 4041.354 3.0 2.0  0.20086 -0.032815 0.01543
24737.19 4041.354 2.0 3.0  0.14241 -0.023267 0.01543
24737.19 4041.354 2.0 2.0  0.19216 -0.031393 0.06790
